name,lx,ly,t_eV,u_eV,mu_eV,temp_K,dt,steps
hubbard_hts_core,14,14,1.000000,8.000000,0.200000,95.0,0.010000,14000
qcd_lattice_fullscale,12,12,0.700000,9.000000,0.100000,140.0,0.010000,11000
quantum_field_noneq,12,11,1.300000,7.000000,0.050000,180.0,0.010000,10500
dense_nuclear_fullscale,12,11,0.800000,11.000000,0.300000,80.0,0.010000,10500
quantum_chemistry_fullscale,12,10,1.600000,6.500000,0.400000,60.0,0.010000,11000
spin_liquid_exotic,16,14,0.900000,10.500000,0.120000,55.0,0.010000,13000
topological_correlated_materials,15,15,1.100000,7.800000,0.150000,70.0,0.010000,12500
correlated_fermions_non_hubbard,14,13,1.200000,8.600000,0.180000,85.0,0.010000,12000
multi_state_excited_chemistry,13,12,1.500000,6.800000,0.220000,48.0,0.010000,11500
bosonic_multimode_systems,14,12,0.600000,5.200000,0.060000,110.0,0.010000,11000
multiscale_nonlinear_field_models,16,12,1.400000,9.200000,0.100000,125.0,0.010000,11500
far_from_equilibrium_kinetic_lattices,15,13,1.000000,8.000000,0.090000,150.0,0.010000,12000
multi_correlated_fermion_boson_networks,14,14,1.050000,7.400000,0.140000,100.0,0.010000,11750
ed_validation_2x2,2,2,1.000000,4.000000,0.000000,10.0,0.010000,20000
fermionic_sign_problem,12,12,1.000000,14.000000,0.000000,20.0,0.010000,15000
